file	obj	tbest	guards
runs/random-A-3W-0G-0P-0/woagp-rand-100-100.out	15.6286	0.453497	28
runs/random-A-3W-0G-0P-0/woagp-rand-100-1.out	13.7011	0.395868	19
runs/random-A-3W-0G-0P-0/woagp-rand-10-10.out	1.25	0.259471	1
runs/random-A-3W-0G-0P-0/woagp-rand-10-1.out	1.66667	0.0479417	2
runs/random-A-3W-0G-0P-0/woagp-rand-102-102.out	16.3091	0.385823	25
runs/random-A-3W-0G-0P-0/woagp-rand-102-1.out	16.1369	0.430751	22
runs/random-A-3W-0G-0P-0/woagp-rand-104-104.out	16.4211	0.442287	25
runs/random-A-3W-0G-0P-0/woagp-rand-104-1.out	17.3245	0.490291	25
runs/random-A-3W-0G-0P-0/woagp-rand-106-106.out	14.0542	0.419281	21
runs/random-A-3W-0G-0P-0/woagp-rand-106-1.out	16.5085	0.369748	28
runs/random-A-3W-0G-0P-0/woagp-rand-108-108.out	14.091	0.454188	27
runs/random-A-3W-0G-0P-0/woagp-rand-108-1.out	15.9387	0.35702	27
runs/random-A-3W-0G-0P-0/woagp-rand-110-110.out	15.4878	0.419779	19
runs/random-A-3W-0G-0P-0/woagp-rand-110-1.out	15.7323	0.432389	29
runs/random-A-3W-0G-0P-0/woagp-rand-112-112.out	16.1655	0.427349	29
runs/random-A-3W-0G-0P-0/woagp-rand-112-1.out	16.332	0.451211	18
runs/random-A-3W-0G-0P-0/woagp-rand-114-114.out	17.3744	0.404012	21
runs/random-A-3W-0G-0P-0/woagp-rand-114-1.out	15.9869	0.387968	19
runs/random-A-3W-0G-0P-0/woagp-rand-116-116.out	13.1903	0.447267	19
runs/random-A-3W-0G-0P-0/woagp-rand-116-1.out	15.0491	0.432582	20
runs/random-A-3W-0G-0P-0/woagp-rand-118-118.out	15.2499	0.387846	21
runs/random-A-3W-0G-0P-0/woagp-rand-118-1.out	15.4696	0.402568	19
runs/random-A-3W-0G-0P-0/woagp-rand-120-120.out	18.5296	0.471645	22
runs/random-A-3W-0G-0P-0/woagp-rand-120-1.out	21.715	0.384423	34
runs/random-A-3W-0G-0P-0/woagp-rand-12-12.out	1.875	0.0523315	2
runs/random-A-3W-0G-0P-0/woagp-rand-12-1.out	2.0241	0.287322	2
runs/random-A-3W-0G-0P-0/woagp-rand-122-122.out	15.1428	0.514454	26
runs/random-A-3W-0G-0P-0/woagp-rand-122-1.out	22.0079	0.357143	26
runs/random-A-3W-0G-0P-0/woagp-rand-124-124.out	17.0007	0.478375	23
runs/random-A-3W-0G-0P-0/woagp-rand-124-1.out	21.9266	0.435648	23
runs/random-A-3W-0G-0P-0/woagp-rand-126-126.out	19.6521	0.49076	23
runs/random-A-3W-0G-0P-0/woagp-rand-126-1.out	23.0981	0.372851	25
runs/random-A-3W-0G-0P-0/woagp-rand-128-128.out	17.6909	0.679063	30
runs/random-A-3W-0G-0P-0/woagp-rand-128-1.out	18.5327	0.499425	28
runs/random-A-3W-0G-0P-0/woagp-rand-130-130.out	18.6823	0.581723	29
runs/random-A-3W-0G-0P-0/woagp-rand-130-1.out	18.5095	0.395042	29
runs/random-A-3W-0G-0P-0/woagp-rand-132-132.out	19.9184	0.571539	27
runs/random-A-3W-0G-0P-0/woagp-rand-132-1.out	18.286	0.522395	31
runs/random-A-3W-0G-0P-0/woagp-rand-134-134.out	20.5267	0.613657	33
runs/random-A-3W-0G-0P-0/woagp-rand-134-1.out	18.4064	0.625252	30
runs/random-A-3W-0G-0P-0/woagp-rand-136-136.out	15.8684	0.515754	24
runs/random-A-3W-0G-0P-0/woagp-rand-136-1.out	20.1266	0.39534	27
runs/random-A-3W-0G-0P-0/woagp-rand-138-138.out	17.5534	0.521929	31
runs/random-A-3W-0G-0P-0/woagp-rand-138-1.out	19.7972	0.446694	27
runs/random-A-3W-0G-0P-0/woagp-rand-140-140.out	17.2567	0.615629	26
runs/random-A-3W-0G-0P-0/woagp-rand-140-1.out	20.7776	0.989643	29
runs/random-A-3W-0G-0P-0/woagp-rand-14-14.out	2.24528	0.278781	2
runs/random-A-3W-0G-0P-0/woagp-rand-14-1.out	1.96178	0.0576835	2
runs/random-A-3W-0G-0P-0/woagp-rand-142-142.out	18.7052	0.718802	30
runs/random-A-3W-0G-0P-0/woagp-rand-142-1.out	20.4487	0.613012	28
runs/random-A-3W-0G-0P-0/woagp-rand-144-144.out	23.6102	0.513895	31
runs/random-A-3W-0G-0P-0/woagp-rand-144-1.out	18.1769	0.618927	35
runs/random-A-3W-0G-0P-0/woagp-rand-146-146.out	22.6816	0.567235	31
runs/random-A-3W-0G-0P-0/woagp-rand-146-1.out	18.0825	0.613929	26
runs/random-A-3W-0G-0P-0/woagp-rand-148-148.out	18.8533	0.718704	27
