file	obj	tbest	guards
runs/small-A-3W-1G-0P-0/woagp-small-100.out	34.5	18.6605	18
runs/small-A-3W-1G-0P-0/woagp-small-102.out	36	24.8302	19
runs/small-A-3W-1G-0P-0/woagp-small-104.out	36	22.5823	19
runs/small-A-3W-1G-0P-0/woagp-small-106.out	36.5	19.4088	19
runs/small-A-3W-1G-0P-0/woagp-small-108.out	38	19.1142	20
runs/small-A-3W-1G-0P-0/woagp-small-10.out	2.5	0.025546	2
runs/small-A-3W-1G-0P-0/woagp-small-110.out	38	26.3125	20
runs/small-A-3W-1G-0P-0/woagp-small-112.out	38.5	17.0565	20
runs/small-A-3W-1G-0P-0/woagp-small-114.out	40	25.782	21
runs/small-A-3W-1G-0P-0/woagp-small-116.out	40	23.4682	21
runs/small-A-3W-1G-0P-0/woagp-small-118.out	40.5	20.7536	21
runs/small-A-3W-1G-0P-0/woagp-small-120.out	42	22.7189	22
runs/small-A-3W-1G-0P-0/woagp-small-122.out	42	29.796	22
runs/small-A-3W-1G-0P-0/woagp-small-124.out	42.5	23.0746	22
runs/small-A-3W-1G-0P-0/woagp-small-126.out	44	18.8016	23
runs/small-A-3W-1G-0P-0/woagp-small-128.out	44	21.0231	23
runs/small-A-3W-1G-0P-0/woagp-small-12.out	3	0.0252704	2
runs/small-A-3W-1G-0P-0/woagp-small-130.out	44.5	20.1244	23
runs/small-A-3W-1G-0P-0/woagp-small-132.out	46	25.7015	24
runs/small-A-3W-1G-0P-0/woagp-small-134.out	46	22.8441	24
runs/small-A-3W-1G-0P-0/woagp-small-136.out	46.5	17.7608	24
runs/small-A-3W-1G-0P-0/woagp-small-138.out	48	21.3009	25
runs/small-A-3W-1G-0P-0/woagp-small-140.out	48	19.2874	25
runs/small-A-3W-1G-0P-0/woagp-small-142.out	48.5	22.9377	25
runs/small-A-3W-1G-0P-0/woagp-small-144.out	50	26.4988	26
runs/small-A-3W-1G-0P-0/woagp-small-146.out	50	27.5224	26
runs/small-A-3W-1G-0P-0/woagp-small-148.out	50.5	28.2547	26
runs/small-A-3W-1G-0P-0/woagp-small-14.out	4	0.0246022	3
runs/small-A-3W-1G-0P-0/woagp-small-150.out	52	30.2488	27
runs/small-A-3W-1G-0P-0/woagp-small-152.out	52	37.8628	27
runs/small-A-3W-1G-0P-0/woagp-small-154.out	52.5	21.8884	27
runs/small-A-3W-1G-0P-0/woagp-small-156.out	54	20.2514	28
runs/small-A-3W-1G-0P-0/woagp-small-158.out	54	17.9449	28
runs/small-A-3W-1G-0P-0/woagp-small-160.out	54.5	24.4193	28
runs/small-A-3W-1G-0P-0/woagp-small-162.out	56	32.2053	29
runs/small-A-3W-1G-0P-0/woagp-small-164.out	56	25.1111	29
runs/small-A-3W-1G-0P-0/woagp-small-166.out	56.5	21.394	29
runs/small-A-3W-1G-0P-0/woagp-small-168.out	58	25.2395	30
runs/small-A-3W-1G-0P-0/woagp-small-16.out	4.5	0.0587261	3
runs/small-A-3W-1G-0P-0/woagp-small-170.out	58	25.82	30
runs/small-A-3W-1G-0P-0/woagp-small-172.out	58.5	21.6782	30
runs/small-A-3W-1G-0P-0/woagp-small-174.out	60	22.1466	31
runs/small-A-3W-1G-0P-0/woagp-small-176.out	60	30.238	31
runs/small-A-3W-1G-0P-0/woagp-small-178.out	60.5	43.0639	31
runs/small-A-3W-1G-0P-0/woagp-small-180.out	62	30.3854	32
runs/small-A-3W-1G-0P-0/woagp-small-182.out	62	41.9408	32
runs/small-A-3W-1G-0P-0/woagp-small-184.out	62.5	39.0329	32
runs/small-A-3W-1G-0P-0/woagp-small-186.out	64	17.2447	33
runs/small-A-3W-1G-0P-0/woagp-small-188.out	64	21.8653	33
runs/small-A-3W-1G-0P-0/woagp-small-18.out	5	0.0646047	3
runs/small-A-3W-1G-0P-0/woagp-small-190.out	64.5	19.3961	33
runs/small-A-3W-1G-0P-0/woagp-small-192.out	66	21.5852	34
runs/small-A-3W-1G-0P-0/woagp-small-194.out	66	16.583	34
runs/small-A-3W-1G-0P-0/woagp-small-196.out	66.5	21.7487	34
runs/small-A-3W-1G-0P-0/woagp-small-198.out	68	19.3156	35
runs/small-A-3W-1G-0P-0/woagp-small-200.out	69.5	27.642	36
runs/small-A-3W-1G-0P-0/woagp-small-20.out	7.5	0.0443078	5
runs/small-A-3W-1G-0P-0/woagp-small-22.out	8.5	0.0630653	5
runs/small-A-3W-1G-0P-0/woagp-small-24.out	10	0.130275	6
runs/small-A-3W-1G-0P-0/woagp-small-26.out	10	0.120798	6
