file	obj	tbest	guards
runs/random-A-0W-1G-3P-0/woagp-rand-100-100.out	168	0.029624	26
runs/random-A-0W-1G-3P-0/woagp-rand-10-10.out	1.5	0	1
runs/random-A-0W-1G-3P-0/woagp-rand-102-102.out	239.5	0.0716588	60
runs/random-A-0W-1G-3P-0/woagp-rand-104-104.out	148	0.00918739	24
runs/random-A-0W-1G-3P-0/woagp-rand-106-106.out	113.5	0.0113138	21
runs/random-A-0W-1G-3P-0/woagp-rand-108-108.out	113	0.0301222	24
runs/random-A-0W-1G-3P-0/woagp-rand-110-110.out	138.5	0.020955	23
runs/random-A-0W-1G-3P-0/woagp-rand-112-112.out	154.5	0.0371685	42
runs/random-A-0W-1G-3P-0/woagp-rand-114-114.out	160.5	0.0337074	27
runs/random-A-0W-1G-3P-0/woagp-rand-116-116.out	97	0.0226186	20
runs/random-A-0W-1G-3P-0/woagp-rand-118-118.out	125	0.0425872	22
runs/random-A-0W-1G-3P-0/woagp-rand-120-120.out	159.5	0.0137467	25
runs/random-A-0W-1G-3P-0/woagp-rand-12-12.out	4.5	0	3
runs/random-A-0W-1G-3P-0/woagp-rand-122-122.out	111.5	0.0335696	22
runs/random-A-0W-1G-3P-0/woagp-rand-124-124.out	112	0.0493356	22
runs/random-A-0W-1G-3P-0/woagp-rand-126-126.out	125.5	0.0315663	22
runs/random-A-0W-1G-3P-0/woagp-rand-128-128.out	121	0.0497422	25
runs/random-A-0W-1G-3P-0/woagp-rand-130-130.out	131.5	0.0416823	25
runs/random-A-0W-1G-3P-0/woagp-rand-132-132.out	138.5	0.0190428	29
runs/random-A-0W-1G-3P-0/woagp-rand-134-134.out	157	0.0500231	33
runs/random-A-0W-1G-3P-0/woagp-rand-136-136.out	162.5	0.0306163	23
runs/random-A-0W-1G-3P-0/woagp-rand-138-138.out	176	0.051163	26
runs/random-A-0W-1G-3P-0/woagp-rand-140-140.out	205	0.148082	49
runs/random-A-0W-1G-3P-0/woagp-rand-14-14.out	5	0.000107366	3
runs/random-A-0W-1G-3P-0/woagp-rand-142-142.out	164.5	0.0764938	27
runs/random-A-0W-1G-3P-0/woagp-rand-144-144.out	170.5	0.0866718	35
runs/random-A-0W-1G-3P-0/woagp-rand-146-146.out	726	0.321575	116
runs/random-A-0W-1G-3P-0/woagp-rand-148-148.out	646.5	0.279303	110
runs/random-A-0W-1G-3P-0/woagp-rand-150-150.out	414.5	0.159907	100
runs/random-A-0W-1G-3P-0/woagp-rand-152-152.out	330	0.175475	74
runs/random-A-0W-1G-3P-0/woagp-rand-154-154.out	223.5	0.0656711	32
runs/random-A-0W-1G-3P-0/woagp-rand-156-156.out	392	0.262769	88
runs/random-A-0W-1G-3P-0/woagp-rand-158-158.out	239.5	0.113652	47
runs/random-A-0W-1G-3P-0/woagp-rand-160-160.out	183.5	0.107463	31
runs/random-A-0W-1G-3P-0/woagp-rand-16-16.out	3.5	0.000189496	3
runs/random-A-0W-1G-3P-0/woagp-rand-162-162.out	735	0.568626	135
runs/random-A-0W-1G-3P-0/woagp-rand-164-164.out	683	0.132339	132
runs/random-A-0W-1G-3P-0/woagp-rand-166-166.out	323	0.0751922	35
runs/random-A-0W-1G-3P-0/woagp-rand-168-168.out	588	0.43596	119
runs/random-A-0W-1G-3P-0/woagp-rand-170-170.out	225	0.101647	35
runs/random-A-0W-1G-3P-0/woagp-rand-172-172.out	928	0.516814	169
runs/random-A-0W-1G-3P-0/woagp-rand-174-174.out	5.62055	0.157684	31
runs/random-A-0W-1G-3P-0/woagp-rand-176-176.out	992	0.787565	158
runs/random-A-0W-1G-3P-0/woagp-rand-178-178.out	271.5	0.10341	37
runs/random-A-0W-1G-3P-0/woagp-rand-180-180.out	225.5	0.0665373	35
runs/random-A-0W-1G-3P-0/woagp-rand-18-18.out	7	0.000127004	4
runs/random-A-0W-1G-3P-0/woagp-rand-182-182.out	306.5	0.135724	71
runs/random-A-0W-1G-3P-0/woagp-rand-184-184.out	282	0.0921845	50
runs/random-A-0W-1G-3P-0/woagp-rand-186-186.out	279.5	0.127584	38
runs/random-A-0W-1G-3P-0/woagp-rand-188-188.out	220	0.13055	32
runs/random-A-0W-1G-3P-0/woagp-rand-190-190.out	252	0.0591262	36
runs/random-A-0W-1G-3P-0/woagp-rand-192-192.out	344	0.097043	39
runs/random-A-0W-1G-3P-0/woagp-rand-194-194.out	6.43537	0.0828963	35
runs/random-A-0W-1G-3P-0/woagp-rand-196-196.out	369	0.142309	42
runs/random-A-0W-1G-3P-0/woagp-rand-198-198.out	266.5	0.226323	64
