file	obj	tbest	guards
runs/small-A-0W-1G-0P-0/woagp-min-100.out	39	0.000836319	20
runs/small-A-0W-1G-0P-0/woagp-min-102.out	39	0.000843818	20
runs/small-A-0W-1G-0P-0/woagp-min-104.out	39	0.00146377	20
runs/small-A-0W-1G-0P-0/woagp-min-106.out	39	0.00170448	20
runs/small-A-0W-1G-0P-0/woagp-min-108.out	41	0.00186435	21
runs/small-A-0W-1G-0P-0/woagp-min-10.out	2.5	0	2
runs/small-A-0W-1G-0P-0/woagp-min-110.out	43	0.00184878	22
runs/small-A-0W-1G-0P-0/woagp-min-112.out	43	0.00204995	22
runs/small-A-0W-1G-0P-0/woagp-min-114.out	43	0.00103442	22
runs/small-A-0W-1G-0P-0/woagp-min-116.out	43	0.00103395	22
runs/small-A-0W-1G-0P-0/woagp-min-118.out	43	0.00111535	22
runs/small-A-0W-1G-0P-0/woagp-min-120.out	45	0.00113723	23
runs/small-A-0W-1G-0P-0/woagp-min-122.out	47	0.00119319	24
runs/small-A-0W-1G-0P-0/woagp-min-124.out	47	0.00241745	24
runs/small-A-0W-1G-0P-0/woagp-min-126.out	47	0.00243469	24
runs/small-A-0W-1G-0P-0/woagp-min-128.out	47	0.00121854	24
runs/small-A-0W-1G-0P-0/woagp-min-12.out	4	0	3
runs/small-A-0W-1G-0P-0/woagp-min-130.out	47	0.000931771	24
runs/small-A-0W-1G-0P-0/woagp-min-132.out	49	0.00134145	25
runs/small-A-0W-1G-0P-0/woagp-min-134.out	51	0.00223702	26
runs/small-A-0W-1G-0P-0/woagp-min-136.out	51	0.00142736	26
runs/small-A-0W-1G-0P-0/woagp-min-138.out	51	0.00293428	26
runs/small-A-0W-1G-0P-0/woagp-min-140.out	51	0.00193816	26
runs/small-A-0W-1G-0P-0/woagp-min-142.out	51	0.00231097	26
runs/small-A-0W-1G-0P-0/woagp-min-144.out	53	0.00309181	27
runs/small-A-0W-1G-0P-0/woagp-min-146.out	55	0.00163937	28
runs/small-A-0W-1G-0P-0/woagp-min-148.out	55	0.00327568	28
runs/small-A-0W-1G-0P-0/woagp-min-14.out	5	0	3
runs/small-A-0W-1G-0P-0/woagp-min-150.out	55	0.00165543	28
runs/small-A-0W-1G-0P-0/woagp-min-152.out	55	0.00167406	28
runs/small-A-0W-1G-0P-0/woagp-min-154.out	55	0.00166461	28
runs/small-A-0W-1G-0P-0/woagp-min-156.out	57	0.00151379	29
runs/small-A-0W-1G-0P-0/woagp-min-158.out	59	0.00370108	30
runs/small-A-0W-1G-0P-0/woagp-min-160.out	59	0.00375312	30
runs/small-A-0W-1G-0P-0/woagp-min-162.out	59	0.00380048	30
runs/small-A-0W-1G-0P-0/woagp-min-164.out	59	0.00191847	30
runs/small-A-0W-1G-0P-0/woagp-min-166.out	59	0.00313741	30
runs/small-A-0W-1G-0P-0/woagp-min-168.out	61	0.00350379	31
runs/small-A-0W-1G-0P-0/woagp-min-16.out	5	0	3
runs/small-A-0W-1G-0P-0/woagp-min-170.out	63	0.00431713	32
runs/small-A-0W-1G-0P-0/woagp-min-172.out	63	0.00431209	32
runs/small-A-0W-1G-0P-0/woagp-min-174.out	63	0.00284842	32
runs/small-A-0W-1G-0P-0/woagp-min-176.out	63	0.00222874	32
runs/small-A-0W-1G-0P-0/woagp-min-178.out	63	0.00223189	32
runs/small-A-0W-1G-0P-0/woagp-min-180.out	65	0.00269657	33
runs/small-A-0W-1G-0P-0/woagp-min-182.out	67	0.00284356	34
runs/small-A-0W-1G-0P-0/woagp-min-184.out	67	0.00236849	34
runs/small-A-0W-1G-0P-0/woagp-min-186.out	67	0.00288982	34
runs/small-A-0W-1G-0P-0/woagp-min-188.out	67	0.00184769	34
runs/small-A-0W-1G-0P-0/woagp-min-18.out	5	0	3
runs/small-A-0W-1G-0P-0/woagp-min-190.out	67	0.00367036	34
runs/small-A-0W-1G-0P-0/woagp-min-192.out	69	0.00482167	35
runs/small-A-0W-1G-0P-0/woagp-min-194.out	71	0.00272102	36
runs/small-A-0W-1G-0P-0/woagp-min-196.out	71	0.00277635	36
runs/small-A-0W-1G-0P-0/woagp-min-198.out	71	0.00332362	36
runs/small-A-0W-1G-0P-0/woagp-min-200.out	74.5	0.0046016	38
runs/small-A-0W-1G-0P-0/woagp-min-20.out	10.5	0	6
runs/small-A-0W-1G-0P-0/woagp-min-22.out	11	0.000206842	6
runs/small-A-0W-1G-0P-0/woagp-min-24.out	11	0	6
runs/small-A-0W-1G-0P-0/woagp-min-26.out	11	0.000220999	6
runs/small-A-0W-1G-0P-0/woagp-min-28.out	13	0.000264989	7
runs/small-A-0W-1G-0P-0/woagp-min-30.out	15	0.000304013	8
runs/small-A-0W-1G-0P-0/woagp-min-32.out	15	0.000163178	8
runs/small-A-0W-1G-0P-0/woagp-min-34.out	15	0.000168366	8
runs/small-A-0W-1G-0P-0/woagp-min-36.out	17	0.000374382	9
runs/small-A-0W-1G-0P-0/woagp-min-38.out	19	0.000399107	10
runs/small-A-0W-1G-0P-0/woagp-min-40.out	19	0.000223481	10
runs/small-A-0W-1G-0P-0/woagp-min-42.out	19	0.000230422	10
runs/small-A-0W-1G-0P-0/woagp-min-44.out	19	0.000243612	10
runs/small-A-0W-1G-0P-0/woagp-min-46.out	19	0.000248847	10
runs/small-A-0W-1G-0P-0/woagp-min-48.out	21	0.000274878	11
runs/small-A-0W-1G-0P-0/woagp-min-50.out	23	0.000604093	12
runs/small-A-0W-1G-0P-0/woagp-min-52.out	23	0.000636811	12
runs/small-A-0W-1G-0P-0/woagp-min-54.out	23	0.000419417	12
runs/small-A-0W-1G-0P-0/woagp-min-56.out	23	0.000525643	12
