file	obj	tbest	guards
runs/large-A-2W-0G-3P-0.1/woagp-fat-100.out	3.3561	0.110705	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-102.out	3.30927	0.164059	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-104.out	3.28633	0.172314	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-106.out	3.24404	0.182291	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-108.out	3.22277	0.147155	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-10.out	1.20968	0.00250923	1
runs/large-A-2W-0G-3P-0.1/woagp-fat-110.out	3.18445	0.188929	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-112.out	3.16464	0.218216	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-114.out	3.12981	0.234082	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-116.out	3.11181	0.129397	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-118.out	3.08003	0.233441	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-120.out	3.06493	0.0975382	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-122.out	3.0358	0.269912	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-124.out	3.01943	0.241783	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-126.out	2.99274	0.318219	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-128.out	2.97732	0.341454	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-12.out	2.01818	0.00230042	2
runs/large-A-2W-0G-3P-0.1/woagp-fat-130.out	2.9528	0.320441	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-132.out	2.93824	0.368124	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-134.out	2.91566	0.197987	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-136.out	2.90188	0.411922	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-138.out	2.88104	0.430222	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-140.out	2.86993	0.447187	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-142.out	2.85062	0.419345	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-144.out	2.83813	0.492893	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-146.out	2.82024	0.496416	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-148.out	2.80835	0.507199	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-14.out	1.9422	0.00125155	2
runs/large-A-2W-0G-3P-0.1/woagp-fat-150.out	2.79176	0.560911	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-152.out	2.78042	0.53996	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-154.out	2.76499	0.225606	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-156.out	2.75439	0.643081	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-158.out	2.74002	0.681664	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-160.out	2.73092	0.618756	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-162.out	2.7175	0.729565	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-164.out	2.70752	0.516691	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-166.out	2.695	0.823749	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-168.out	2.68543	0.833787	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-16.out	1.9697	0.00176066	2
runs/large-A-2W-0G-3P-0.1/woagp-fat-170.out	2.67373	0.868682	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-172.out	2.66452	0.912665	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-174.out	2.65358	0.959949	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-176.out	2.64472	0.895333	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-178.out	2.63447	0.913942	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-180.out	2.6271	1.06717	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-182.out	2.61746	1.15672	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-184.out	2.60921	0.44184	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-186.out	2.60016	1.18187	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-188.out	2.59219	1.23134	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-18.out	1.91489	0.00258575	2
runs/large-A-2W-0G-3P-0.1/woagp-fat-190.out	2.58369	1.26503	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-192.out	2.57599	1.28678	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-194.out	2.568	1.35438	7
runs/large-A-2W-0G-3P-0.1/woagp-fat-196.out	2.56068	1.35628	7
