file	obj	tbest	guards
runs/random-A-2W-1G-4P-0.1/woagp-rand-100-100.out	145	0.0126958	15
runs/random-A-2W-1G-4P-0.1/woagp-rand-100-1.out	87	0.00954949	8
runs/random-A-2W-1G-4P-0.1/woagp-rand-10-10.out	1.5	0.00167429	0
runs/random-A-2W-1G-4P-0.1/woagp-rand-10-1.out	4.5	0.00252575	1
runs/random-A-2W-1G-4P-0.1/woagp-rand-102-102.out	120.5	0.00612419	13
runs/random-A-2W-1G-4P-0.1/woagp-rand-102-1.out	101	0.0084904	12
runs/random-A-2W-1G-4P-0.1/woagp-rand-104-104.out	131.5	0.00830014	13
runs/random-A-2W-1G-4P-0.1/woagp-rand-104-1.out	101.5	0.00851213	11
runs/random-A-2W-1G-4P-0.1/woagp-rand-106-106.out	103	0.0101684	8
runs/random-A-2W-1G-4P-0.1/woagp-rand-106-1.out	112	0.00942465	12
runs/random-A-2W-1G-4P-0.1/woagp-rand-108-108.out	98.5	0.0143965	11
runs/random-A-2W-1G-4P-0.1/woagp-rand-108-1.out	114	0.0092892	12
runs/random-A-2W-1G-4P-0.1/woagp-rand-110-110.out	135.5	0.0122625	11
runs/random-A-2W-1G-4P-0.1/woagp-rand-110-1.out	118.5	0.00954292	12
runs/random-A-2W-1G-4P-0.1/woagp-rand-112-112.out	117.5	0.0203527	7
runs/random-A-2W-1G-4P-0.1/woagp-rand-112-1.out	135.5	0.00841478	10
runs/random-A-2W-1G-4P-0.1/woagp-rand-114-114.out	149.5	0.0155995	17
runs/random-A-2W-1G-4P-0.1/woagp-rand-114-1.out	129.5	0.0128513	9
runs/random-A-2W-1G-4P-0.1/woagp-rand-116-116.out	97.5	0.0136574	7
runs/random-A-2W-1G-4P-0.1/woagp-rand-116-1.out	140	0.00931759	11
runs/random-A-2W-1G-4P-0.1/woagp-rand-118-118.out	124.5	0.0113738	10
runs/random-A-2W-1G-4P-0.1/woagp-rand-118-1.out	145.5	0.0103024	12
runs/random-A-2W-1G-4P-0.1/woagp-rand-120-120.out	157.5	0.0115389	13
runs/random-A-2W-1G-4P-0.1/woagp-rand-120-1.out	136.5	0.0142441	12
runs/random-A-2W-1G-4P-0.1/woagp-rand-12-12.out	4.5	0.00134763	1
runs/random-A-2W-1G-4P-0.1/woagp-rand-12-1.out	6.41548	0.00169653	1
runs/random-A-2W-1G-4P-0.1/woagp-rand-122-122.out	110	0.0130725	9
runs/random-A-2W-1G-4P-0.1/woagp-rand-122-1.out	131.5	0.0127734	11
runs/random-A-2W-1G-4P-0.1/woagp-rand-124-124.out	107.5	0.0333325	10
