file	obj	tbest	guards
runs/small-A-2W-0G-4P-0.1/woagp-min-100.out	19.2082	0.00399416	10
runs/small-A-2W-0G-4P-0.1/woagp-min-102.out	19.4914	0.00427338	9
runs/small-A-2W-0G-4P-0.1/woagp-min-104.out	20.3606	0.00211202	10
runs/small-A-2W-0G-4P-0.1/woagp-min-106.out	21.2293	0.00410307	11
runs/small-A-2W-0G-4P-0.1/woagp-min-108.out	21.2195	0.00372322	11
runs/small-A-2W-0G-4P-0.1/woagp-min-10.out	2.75862	0.00130539	2
runs/small-A-2W-0G-4P-0.1/woagp-min-110.out	21.2101	0.00366983	11
runs/small-A-2W-0G-4P-0.1/woagp-min-112.out	21.201	0.00427976	10
runs/small-A-2W-0G-4P-0.1/woagp-min-114.out	21.4846	0.00298274	10
runs/small-A-2W-0G-4P-0.1/woagp-min-116.out	22.3526	0.00465038	11
runs/small-A-2W-0G-4P-0.1/woagp-min-118.out	23.2203	0.00303727	12
runs/small-A-2W-0G-4P-0.1/woagp-min-120.out	23.2117	0.00259528	12
runs/small-A-2W-0G-4P-0.1/woagp-min-122.out	23.2033	0.00486408	11
runs/small-A-2W-0G-4P-0.1/woagp-min-124.out	23.1953	0.0027178	11
runs/small-A-2W-0G-4P-0.1/woagp-min-126.out	23.4792	0.00517296	11
runs/small-A-2W-0G-4P-0.1/woagp-min-128.out	24.3462	0.00314846	12
runs/small-A-2W-0G-4P-0.1/woagp-min-12.out	2.66667	0.00135306	1
runs/small-A-2W-0G-4P-0.1/woagp-min-130.out	25.213	0.00357684	13
runs/small-A-2W-0G-4P-0.1/woagp-min-132.out	25.2053	0.00310403	12
runs/small-A-2W-0G-4P-0.1/woagp-min-134.out	25.1978	0.00349171	12
runs/small-A-2W-0G-4P-0.1/woagp-min-136.out	25.1906	0.00204592	12
runs/small-A-2W-0G-4P-0.1/woagp-min-138.out	25.4747	0.00519466	12
runs/small-A-2W-0G-4P-0.1/woagp-min-140.out	26.341	0.00281029	13
runs/small-A-2W-0G-4P-0.1/woagp-min-142.out	27.207	0.00471466	13
runs/small-A-2W-0G-4P-0.1/woagp-min-144.out	27.2	0.00510724	13
runs/small-A-2W-0G-4P-0.1/woagp-min-146.out	27.1932	0.00571906	13
runs/small-A-2W-0G-4P-0.1/woagp-min-148.out	27.1866	0.00432266	13
runs/small-A-2W-0G-4P-0.1/woagp-min-14.out	2.93023	0.00275154	1
