file	obj	tbest	guards
runs/large-A-2W-1G-4P-0.1/woagp-fat-100.out	7	0.149856	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-102.out	19.5	0.131154	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-104.out	7	0.13939	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-106.out	7	0.0708612	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-108.out	7	0.189467	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-10.out	1	0.00242693	1
runs/large-A-2W-1G-4P-0.1/woagp-fat-110.out	7	0.183257	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-112.out	7	0.201168	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-114.out	21	0.234946	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-116.out	7	0.242264	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-118.out	7	0.13371	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-120.out	7	0.271083	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-122.out	7	0.285385	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-124.out	7	0.300748	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-126.out	7	0.315618	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-128.out	7	0.334681	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-12.out	2	0.00231842	2
runs/large-A-2W-1G-4P-0.1/woagp-fat-130.out	7	0.352424	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-132.out	7	0.366346	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-134.out	7	0.384546	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-136.out	7	0.411097	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-138.out	7	0.428413	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-140.out	7	0.433035	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-142.out	7	0.467331	7
runs/large-A-2W-1G-4P-0.1/woagp-fat-144.out	7	0.193265	7
