file	obj	tbest	guards
runs/random-A-2W-1G-4P-0.1/woagp-rand-100-100.out	145	0.010174	25
runs/random-A-2W-1G-4P-0.1/woagp-rand-100-1.out	87	0.00963896	18
runs/random-A-2W-1G-4P-0.1/woagp-rand-10-10.out	1.5	0.0020091	1
runs/random-A-2W-1G-4P-0.1/woagp-rand-10-1.out	4.5	0.00204378	2
runs/random-A-2W-1G-4P-0.1/woagp-rand-102-102.out	120.5	0.011037	24
runs/random-A-2W-1G-4P-0.1/woagp-rand-102-1.out	101	0.0101549	23
runs/random-A-2W-1G-4P-0.1/woagp-rand-104-104.out	131.5	0.010563	24
runs/random-A-2W-1G-4P-0.1/woagp-rand-104-1.out	101.5	0.00894152	22
runs/random-A-2W-1G-4P-0.1/woagp-rand-106-106.out	103	0.00795028	19
runs/random-A-2W-1G-4P-0.1/woagp-rand-106-1.out	112	0.0138112	23
runs/random-A-2W-1G-4P-0.1/woagp-rand-108-108.out	98.5	0.0199538	22
runs/random-A-2W-1G-4P-0.1/woagp-rand-108-1.out	114	0.0123671	23
runs/random-A-2W-1G-4P-0.1/woagp-rand-110-110.out	135.5	0.0090394	22
runs/random-A-2W-1G-4P-0.1/woagp-rand-110-1.out	118.5	0.00993366	23
runs/random-A-2W-1G-4P-0.1/woagp-rand-112-112.out	117.5	0.00910012	19
runs/random-A-2W-1G-4P-0.1/woagp-rand-112-1.out	135.5	0.00802746	22
runs/random-A-2W-1G-4P-0.1/woagp-rand-114-114.out	149.5	0.0109606	29
runs/random-A-2W-1G-4P-0.1/woagp-rand-114-1.out	129.5	0.0095463	21
runs/random-A-2W-1G-4P-0.1/woagp-rand-116-116.out	97.5	0.0169417	19
runs/random-A-2W-1G-4P-0.1/woagp-rand-116-1.out	140	0.00934964	23
runs/random-A-2W-1G-4P-0.1/woagp-rand-118-118.out	124.5	0.0156081	22
runs/random-A-2W-1G-4P-0.1/woagp-rand-118-1.out	145.5	0.00899358	24
runs/random-A-2W-1G-4P-0.1/woagp-rand-120-120.out	157.5	0.01207	25
runs/random-A-2W-1G-4P-0.1/woagp-rand-120-1.out	136.5	0.015607	24
runs/random-A-2W-1G-4P-0.1/woagp-rand-12-12.out	4.5	0.00251569	3
runs/random-A-2W-1G-4P-0.1/woagp-rand-12-1.out	6.41548	0.00214076	3
