file	obj	tbest	guards
runs/random-A-2W-1G-3P-0.2/woagp-rand-100-100.out	151.5	0.0284892	46
runs/random-A-2W-1G-3P-0.2/woagp-rand-100-1.out	98	0.0246415	40
runs/random-A-2W-1G-3P-0.2/woagp-rand-10-10.out	1.5	0.00222727	2
runs/random-A-2W-1G-3P-0.2/woagp-rand-10-1.out	4	0.0017284	4
runs/random-A-2W-1G-3P-0.2/woagp-rand-102-102.out	124	0.016505	45
runs/random-A-2W-1G-3P-0.2/woagp-rand-102-1.out	94	0.0107604	44
runs/random-A-2W-1G-3P-0.2/woagp-rand-104-104.out	136	0.0117571	44
runs/random-A-2W-1G-3P-0.2/woagp-rand-104-1.out	94	0.0140826	43
runs/random-A-2W-1G-3P-0.2/woagp-rand-106-106.out	114.5	0.0197639	42
runs/random-A-2W-1G-3P-0.2/woagp-rand-106-1.out	106.5	0.0163912	45
runs/random-A-2W-1G-3P-0.2/woagp-rand-108-108.out	112.5	0.0229845	46
runs/random-A-2W-1G-3P-0.2/woagp-rand-108-1.out	108.5	0.0167378	45
runs/random-A-2W-1G-3P-0.2/woagp-rand-110-110.out	137.5	0.0163283	45
runs/random-A-2W-1G-3P-0.2/woagp-rand-110-1.out	113	0.0218677	45
runs/random-A-2W-1G-3P-0.2/woagp-rand-112-112.out	115.5	0.0323716	47
runs/random-A-2W-1G-3P-0.2/woagp-rand-112-1.out	148.5	0.0135895	44
runs/random-A-2W-1G-3P-0.2/woagp-rand-114-114.out	160.5	0.0318126	50
runs/random-A-2W-1G-3P-0.2/woagp-rand-114-1.out	197	0.0199152	44
runs/random-A-2W-1G-3P-0.2/woagp-rand-116-116.out	97	0.0321156	40
runs/random-A-2W-1G-3P-0.2/woagp-rand-116-1.out	152	0.0246371	46
runs/random-A-2W-1G-3P-0.2/woagp-rand-118-118.out	125	0.0272513	44
runs/random-A-2W-1G-3P-0.2/woagp-rand-118-1.out	151	0.0126356	46
runs/random-A-2W-1G-3P-0.2/woagp-rand-120-120.out	160	0.023657	49
runs/random-A-2W-1G-3P-0.2/woagp-rand-120-1.out	148	0.0208615	49
runs/random-A-2W-1G-3P-0.2/woagp-rand-12-12.out	4.5	0.00245662	6
runs/random-A-2W-1G-3P-0.2/woagp-rand-12-1.out	3.5	0.0026318	6
runs/random-A-2W-1G-3P-0.2/woagp-rand-122-122.out	112	0.0248188	44
runs/random-A-2W-1G-3P-0.2/woagp-rand-122-1.out	138.5	0.0283998	50
runs/random-A-2W-1G-3P-0.2/woagp-rand-124-124.out	113	0.0486291	44
runs/random-A-2W-1G-3P-0.2/woagp-rand-124-1.out	135.5	0.0378369	50
runs/random-A-2W-1G-3P-0.2/woagp-rand-126-126.out	126	0.0352746	44
runs/random-A-2W-1G-3P-0.2/woagp-rand-126-1.out	152	0.032645	52
runs/random-A-2W-1G-3P-0.2/woagp-rand-128-128.out	120.5	0.0555946	50
runs/random-A-2W-1G-3P-0.2/woagp-rand-128-1.out	139.5	0.0379292	53
runs/random-A-2W-1G-3P-0.2/woagp-rand-130-130.out	132	0.0257179	50
runs/random-A-2W-1G-3P-0.2/woagp-rand-130-1.out	133	0.0357623	53
runs/random-A-2W-1G-3P-0.2/woagp-rand-132-132.out	138	0.0382357	56
runs/random-A-2W-1G-3P-0.2/woagp-rand-132-1.out	144.5	0.0320577	54
runs/random-A-2W-1G-3P-0.2/woagp-rand-134-134.out	142.5	0.0461052	54
runs/random-A-2W-1G-3P-0.2/woagp-rand-134-1.out	148	0.0198008	55
runs/random-A-2W-1G-3P-0.2/woagp-rand-136-136.out	164	0.059923	48
runs/random-A-2W-1G-3P-0.2/woagp-rand-136-1.out	148.5	0.0326588	57
runs/random-A-2W-1G-3P-0.2/woagp-rand-138-138.out	107.5	0.0664935	56
runs/random-A-2W-1G-3P-0.2/woagp-rand-138-1.out	149.5	0.0287615	57
runs/random-A-2W-1G-3P-0.2/woagp-rand-140-140.out	147	0.0906349	56
runs/random-A-2W-1G-3P-0.2/woagp-rand-140-1.out	140	0.0475203	57
runs/random-A-2W-1G-3P-0.2/woagp-rand-14-14.out	5	0.00176293	6
runs/random-A-2W-1G-3P-0.2/woagp-rand-14-1.out	7.3541	0.00246072	6
runs/random-A-2W-1G-3P-0.2/woagp-rand-142-142.out	164.5	0.0740881	54
runs/random-A-2W-1G-3P-0.2/woagp-rand-142-1.out	151	0.0381955	59
runs/random-A-2W-1G-3P-0.2/woagp-rand-144-144.out	154	0.048573	58
runs/random-A-2W-1G-3P-0.2/woagp-rand-144-1.out	183.5	0.107419	59
runs/random-A-2W-1G-3P-0.2/woagp-rand-146-146.out	257.5	0.0850613	62
runs/random-A-2W-1G-3P-0.2/woagp-rand-146-1.out	187.5	0.11607	61
runs/random-A-2W-1G-3P-0.2/woagp-rand-148-148.out	253	0.0642039	60
runs/random-A-2W-1G-3P-0.2/woagp-rand-148-1.out	190	0.131451	61
runs/random-A-2W-1G-3P-0.2/woagp-rand-150-150.out	183	0.0437033	60
runs/random-A-2W-1G-3P-0.2/woagp-rand-150-1.out	191	0.0247514	62
runs/random-A-2W-1G-3P-0.2/woagp-rand-152-152.out	227.5	0.0751384	64
runs/random-A-2W-1G-3P-0.2/woagp-rand-152-1.out	206	0.0557003	63
runs/random-A-2W-1G-3P-0.2/woagp-rand-154-154.out	217	0.0478693	62
runs/random-A-2W-1G-3P-0.2/woagp-rand-154-1.out	212.5	0.053627	63
runs/random-A-2W-1G-3P-0.2/woagp-rand-156-156.out	204	0.071095	64
runs/random-A-2W-1G-3P-0.2/woagp-rand-156-1.out	222.5	0.037265	60
runs/random-A-2W-1G-3P-0.2/woagp-rand-158-158.out	201.5	0.0869235	64
runs/random-A-2W-1G-3P-0.2/woagp-rand-158-1.out	226.5	0.050602	60
runs/random-A-2W-1G-3P-0.2/woagp-rand-160-160.out	181	0.100531	62
runs/random-A-2W-1G-3P-0.2/woagp-rand-160-1.out	232.5	0.0664662	62
runs/random-A-2W-1G-3P-0.2/woagp-rand-16-16.out	3.5	0.00272125	6
runs/random-A-2W-1G-3P-0.2/woagp-rand-16-1.out	4.5	0.00270454	6
runs/random-A-2W-1G-3P-0.2/woagp-rand-162-162.out	215.5	0.130384	66
runs/random-A-2W-1G-3P-0.2/woagp-rand-162-1.out	187.5	0.109577	64
runs/random-A-2W-1G-3P-0.2/woagp-rand-164-164.out	172	0.0469543	66
runs/random-A-2W-1G-3P-0.2/woagp-rand-164-1.out	187	0.12002	66
runs/random-A-2W-1G-3P-0.2/woagp-rand-166-166.out	322	0.122962	69
