file	obj	tbest	guards
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-100.out	7	0.119914	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-102.out	7	0.158559	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-104.out	7	0.163067	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-106.out	7	0.159098	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-108.out	7	0.188112	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-10.out	1	0	1
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-110.out	7	0.19969	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-112.out	7	0.205545	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-114.out	21	0.178719	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-116.out	7	0.228573	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-118.out	7	0.253229	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-120.out	21.5	0.101005	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-122.out	7	0.269647	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-124.out	7	0.295095	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-126.out	7	0.29119	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-128.out	7	0.236877	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-12.out	2	0	2
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-130.out	7	0.342616	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-132.out	7	0.330208	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-134.out	7	0.381466	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-136.out	7	0.388898	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-138.out	7	0.278563	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-140.out	7	0.434517	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-142.out	7	0.453356	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-144.out	7	0.46413	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-146.out	7	0.432705	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-148.out	7	0.519285	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-14.out	2	0.000105721	2
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-150.out	7	0.201541	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-152.out	7	0.530701	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-154.out	7	0.571462	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-156.out	7	0.637647	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-158.out	7	0.662648	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-160.out	7	0.595157	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-162.out	7	0.717304	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-164.out	7	0.672646	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-166.out	7	0.806927	7
runs/large-A-1W-1G-3P-0.0-offs-0.1dist-10/woagp-fat-168.out	7	0.76278	7
