file	obj	tbest	guards
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-100-100.out	25.7598	0.0254126	26
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-100-1.out	18.59	0.0124113	20
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-10-10.out	1.25	0	1
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-10-1.out	1.9697	0	2
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-102-102.out	46.573	0.0688237	63
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-102-1.out	68.4691	0.0838859	84
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-104-104.out	25.0481	0.00799941	24
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-104-1.out	36.0386	0.0597008	62
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-106-106.out	48.6823	0.0800542	75
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-106-1.out	23.6073	0.0147718	24
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-108-108.out	19.0812	0.0312258	24
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-108-1.out	22.9342	0.0160131	23
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-110-110.out	24.6503	0.0172286	22
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-110-1.out	23.6378	0.011499	24
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-112-112.out	20.1483	0.0229034	19
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-112-1.out	33.8575	0.0307581	48
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-114-114.out	28.5448	0.0355624	31
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-114-1.out	35.9081	0.0462116	51
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-116-116.out	24.4132	0.0251873	29
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-116-1.out	37.7372	0.0494969	53
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-118-118.out	20.8483	0.0385807	22
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-118-1.out	35.8791	0.0517274	52
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-120-120.out	37.432	0.0535891	48
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-120-1.out	77.5766	0.136136	101
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-12-12.out	2.25	0	2
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-12-1.out	2.74699	0	3
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-122-122.out	48.4091	0.144202	85
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-122-1.out	77.2009	0.114403	102
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-124-124.out	21.9473	0.059256	22
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-124-1.out	50.9555	0.0742997	64
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-126-126.out	23.666	0.0183171	22
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-126-1.out	30.2468	0.0308294	26
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-128-128.out	21.6382	0.0166634	23
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-128-1.out	26.466	0.0217694	27
runs/random-A-1W-0G-3P-0.0-offs-0.1dist-2/woagp-rand-130-130.out	57.4655	0.127867	83
