file	obj	tbest	guards
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-100.out	39	0.00193502	20
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-102.out	39	0.00194033	20
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-104.out	41	0.00208004	21
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-106.out	41	0.00160079	21
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-108.out	43	0.000825453	22
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-10.out	5	0	3
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-110.out	43	0.00226888	22
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-112.out	43	0.00117791	22
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-114.out	43	0.00118628	22
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-116.out	45	0.0025343	23
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-118.out	45	0.00129139	23
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-120.out	47	0.00139824	24
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-122.out	47	0.00209607	24
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-124.out	47	0.00257324	24
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-126.out	47	0.00199816	24
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-128.out	49	0.00302315	25
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-12.out	5	0	3
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-130.out	49	0.00304809	25
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-132.out	51	0.00163021	26
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-134.out	51	0.00329761	26
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-136.out	51	0.0033508	26
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-138.out	51	0.00311692	26
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-140.out	53	0.00203853	27
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-142.out	53	0.00206446	27
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-144.out	55	0.00225157	28
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-146.out	55	0.00137091	28
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-148.out	55	0.00383	28
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-14.out	5	0	3
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-150.out	55	0.00199281	28
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-152.out	57	0.00208902	29
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-154.out	57	0.00207924	29
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-156.out	59	0.00354437	30
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-158.out	59	0.00436644	30
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-160.out	59	0.00339478	30
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-162.out	59	0.00357554	30
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-164.out	61	0.0027658	31
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-166.out	61	0.00497601	31
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-168.out	63	0.00362577	32
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-16.out	7	0.00012554	4
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-170.out	63	0.00484898	32
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-172.out	63	0.00530832	32
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-174.out	63	0.00303964	32
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-176.out	65	0.00499638	33
runs/small-A-1W-1G-4P-0.0-offs-0.5dist-2/woagp-min-178.out	65	0.00388037	33
