file	obj	tbest	guards
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-100.out	7	0.15046	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-102.out	7	0.105366	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-104.out	7	0.120496	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-106.out	7	0.17364	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-108.out	7	0.180543	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-10.out	1	4.5252	1
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-110.out	7	0.197901	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-112.out	7	0.0745317	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-114.out	7	0.22297	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-116.out	7	0.232599	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-118.out	7	0.254731	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-120.out	7	0.25989	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-122.out	7	0.280657	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-124.out	7	0.155872	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-126.out	7	0.302584	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-128.out	7	0.334262	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-12.out	2	0.000116013	2
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-130.out	7	0.343494	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-132.out	7	0.367432	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-134.out	7	0.376689	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-136.out	7	0.373259	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-138.out	7	0.398052	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-140.out	7	0.402146	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-142.out	7	0.441189	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-144.out	7	0.176735	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-146.out	7	0.496575	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-148.out	7	0.513882	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-14.out	2	0.0001141	2
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-150.out	7	0.550301	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-152.out	7	0.574924	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-154.out	7	0.581578	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-156.out	7	0.632602	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-158.out	7	0.612195	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-160.out	7	0.699275	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-162.out	7	0.714775	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-164.out	7	0.743094	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-166.out	7	0.783508	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-168.out	7	0.820726	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-16.out	2	0.000234116	2
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-170.out	7	0.858706	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-172.out	7	0.896667	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-174.out	7	0.938854	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-176.out	7	0.371431	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-178.out	7	0.999773	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-180.out	7	1.04707	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-182.out	7	1.09679	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-184.out	7	1.12374	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-186.out	7	1.16353	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-188.out	7	1.21402	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-18.out	2	0.000299723	2
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-190.out	7	1.1311	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-192.out	7	1.3106	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-194.out	7	1.32216	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-196.out	7	1.38981	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-198.out	7	1.08436	7
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-200.out	32.5	1.67318	8
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-20.out	5	0.000510685	3
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-22.out	3	0.000301745	3
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-24.out	3	0.000693936	3
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-26.out	3	0.00078503	3
runs/large-A-1W-1G-0P-0.0-offs-0.3dist-5/woagp-fat-28.out	4	0.00123027	4
