file	obj	tbest	guards
runs/small-A-0W-0G-0P-0/woagp-min-100.out	22.1408	0.00105169	26
runs/small-A-0W-0G-0P-0/woagp-min-102.out	22.8621	0.000797372	27
runs/small-A-0W-0G-0P-0/woagp-min-104.out	20.0676	0.00165085	21
runs/small-A-0W-0G-0P-0/woagp-min-106.out	23.7182	0.00238815	28
runs/small-A-0W-0G-0P-0/woagp-min-108.out	23.4146	0.00235399	27
runs/small-A-0W-0G-0P-0/woagp-min-10.out	2.58621	0	3
runs/small-A-0W-0G-0P-0/woagp-min-110.out	24.5745	0.00131249	29
runs/small-A-0W-0G-0P-0/woagp-min-112.out	24.4178	0.00133892	29
runs/small-A-0W-0G-0P-0/woagp-min-114.out	25.5769	0.00140784	30
runs/small-A-0W-0G-0P-0/woagp-min-116.out	25.5667	0.00257769	30
runs/small-A-0W-0G-0P-0/woagp-min-118.out	26.2871	0.00147374	31
runs/small-A-0W-0G-0P-0/woagp-min-120.out	23.0657	0.00232921	24
runs/small-A-0W-0G-0P-0/woagp-min-122.out	22.9115	0.00234923	24
runs/small-A-0W-0G-0P-0/woagp-min-124.out	27.4259	0.00290804	32
runs/small-A-0W-0G-0P-0/woagp-min-126.out	28	0.00166345	33
runs/small-A-0W-0G-0P-0/woagp-min-128.out	27.9909	0.00117575	33
runs/small-A-0W-0G-0P-0/woagp-min-12.out	2.83333	0	3
runs/small-A-0W-0G-0P-0/woagp-min-130.out	29.0022	0.00349828	34
runs/small-A-0W-0G-0P-0/woagp-min-132.out	25.0596	0.0027464	26
runs/small-A-0W-0G-0P-0/woagp-min-134.out	24.9065	0.00251068	26
runs/small-A-0W-0G-0P-0/woagp-min-136.out	29.7045	0.00374866	35
runs/small-A-0W-0G-0P-0/woagp-min-138.out	25.7658	0.00148351	27
runs/small-A-0W-0G-0P-0/woagp-min-140.out	30.8524	0.00409342	36
runs/small-A-0W-0G-0P-0/woagp-min-142.out	26.625	0.00157885	28
runs/small-A-0W-0G-0P-0/woagp-min-144.out	30.8364	0.00292445	36
runs/small-A-0W-0G-0P-0/woagp-min-146.out	32.2829	0.00233454	38
runs/small-A-0W-0G-0P-0/woagp-min-148.out	32.5658	0.00410469	38
runs/small-A-0W-0G-0P-0/woagp-min-14.out	3.4186	0	4
runs/small-A-0W-0G-0P-0/woagp-min-150.out	33.1395	0.00234195	39
runs/small-A-0W-0G-0P-0/woagp-min-152.out	33.1319	0.00233823	39
runs/small-A-0W-0G-0P-0/woagp-min-154.out	28.3302	0.00343848	29
runs/small-A-0W-0G-0P-0/woagp-min-156.out	34.2793	0.00362714	40
runs/small-A-0W-0G-0P-0/woagp-min-158.out	34.8529	0.00311362	41
runs/small-A-0W-0G-0P-0/woagp-min-160.out	34.7005	0.00394028	41
runs/small-A-0W-0G-0P-0/woagp-min-162.out	35.5645	0.00531399	42
runs/small-A-0W-0G-0P-0/woagp-min-164.out	35.8478	0.0047125	42
runs/small-A-0W-0G-0P-0/woagp-min-166.out	35.6958	0.00201167	41
runs/small-A-0W-0G-0P-0/woagp-min-168.out	36.5596	0.0028498	43
runs/small-A-0W-0G-0P-0/woagp-min-16.out	3.36	0	4
runs/small-A-0W-0G-0P-0/woagp-min-170.out	37.2782	0.00580653	44
runs/small-A-0W-0G-0P-0/woagp-min-172.out	37.7066	0.00606041	44
runs/small-A-0W-0G-0P-0/woagp-min-174.out	37.7	0.00561276	44
runs/small-A-0W-0G-0P-0/woagp-min-176.out	38.2735	0.00313616	45
runs/small-A-0W-0G-0P-0/woagp-min-178.out	39.1368	0.00650007	46
runs/small-A-0W-0G-0P-0/woagp-min-180.out	39.4203	0.00383477	46
runs/small-A-0W-0G-0P-0/woagp-min-182.out	39.9936	0.00397545	47
runs/small-A-0W-0G-0P-0/woagp-min-184.out	39.9874	0.00403848	47
runs/small-A-0W-0G-0P-0/woagp-min-186.out	40.7056	0.00251382	48
runs/small-A-0W-0G-0P-0/woagp-min-188.out	41.1341	0.00345462	48
runs/small-A-0W-0G-0P-0/woagp-min-18.out	3.47368	0.000140345	4
runs/small-A-0W-0G-0P-0/woagp-min-190.out	41.5625	0.00354714	49
runs/small-A-0W-0G-0P-0/woagp-min-192.out	41.7014	0.00372544	49
runs/small-A-0W-0G-0P-0/woagp-min-194.out	42.5642	0.00389395	50
runs/small-A-0W-0G-0P-0/woagp-min-196.out	42.7031	0.00454542	50
runs/small-A-0W-0G-0P-0/woagp-min-198.out	43.421	0.00565331	51
runs/small-A-0W-0G-0P-0/woagp-min-200.out	44.235	0.00758923	52
runs/small-A-0W-0G-0P-0/woagp-min-20.out	5.04065	0	6
runs/small-A-0W-0G-0P-0/woagp-min-22.out	5.82353	0.000140122	7
runs/small-A-0W-0G-0P-0/woagp-min-24.out	5.6	0.000198513	7
runs/small-A-0W-0G-0P-0/woagp-min-26.out	6.65854	0.000204787	8
runs/small-A-0W-0G-0P-0/woagp-min-28.out	6.92135	0.000132567	8
runs/small-A-0W-0G-0P-0/woagp-min-30.out	7.5	0.000175941	9
runs/small-A-0W-0G-0P-0/woagp-min-32.out	7.45631	0.000175266	9
runs/small-A-0W-0G-0P-0/woagp-min-34.out	7.41818	0.000182813	8
runs/small-A-0W-0G-0P-0/woagp-min-36.out	8.61539	0.000201673	10
runs/small-A-0W-0G-0P-0/woagp-min-38.out	8.58064	0.00042064	10
runs/small-A-0W-0G-0P-0/woagp-min-40.out	8.24427	0.000413431	9
runs/small-A-0W-0G-0P-0/woagp-min-42.out	9.73913	0.000247327	11
runs/small-A-0W-0G-0P-0/woagp-min-44.out	10.1655	0.000253099	11
runs/small-A-0W-0G-0P-0/woagp-min-46.out	10.8947	0.000595897	13
runs/small-A-0W-0G-0P-0/woagp-min-48.out	10.8679	0.000626482	13
runs/small-A-0W-0G-0P-0/woagp-min-50.out	11.5964	0.000345177	14
runs/small-A-0W-0G-0P-0/woagp-min-52.out	12.0231	0.000355284	14
runs/small-A-0W-0G-0P-0/woagp-min-54.out	12.6	0.000391307	15
runs/small-A-0W-0G-0P-0/woagp-min-56.out	12.4278	0.000803233	15
runs/small-A-0W-0G-0P-0/woagp-min-58.out	13.3041	0.000436667	16
runs/small-A-0W-0G-0P-0/woagp-min-60.out	13.5821	0.000434958	16
runs/small-A-0W-0G-0P-0/woagp-min-62.out	14.3077	0.000391912	17
runs/small-A-0W-0G-0P-0/woagp-min-64.out	14.2884	0.000489981	17
runs/small-A-0W-0G-0P-0/woagp-min-66.out	15.1622	0.00105155	18
runs/small-A-0W-0G-0P-0/woagp-min-68.out	14.8472	0.000921649	17
runs/small-A-0W-0G-0P-0/woagp-min-70.out	15.4237	0.00104441	18
runs/small-A-0W-0G-0P-0/woagp-min-72.out	16	0.00101974	19
runs/small-A-0W-0G-0P-0/woagp-min-74.out	16.872	0.00127083	20
runs/small-A-0W-0G-0P-0/woagp-min-76.out	17.1517	0.0012112	20
runs/small-A-0W-0G-0P-0/woagp-min-78.out	17.7273	0.000701526	21
runs/small-A-0W-0G-0P-0/woagp-min-80.out	17.7122	0.000942693	21
runs/small-A-0W-0G-0P-0/woagp-min-82.out	18.2878	0.000858436	21
runs/small-A-0W-0G-0P-0/woagp-min-84.out	18.8632	0.00143739	22
runs/small-A-0W-0G-0P-0/woagp-min-86.out	19.2911	0.00160618	23
runs/small-A-0W-0G-0P-0/woagp-min-88.out	19.4247	0.0015461	23
runs/small-A-0W-0G-0P-0/woagp-min-8.out	2	0	2
runs/small-A-0W-0G-0P-0/woagp-min-90.out	20.2941	0.00152595	24
runs/small-A-0W-0G-0P-0/woagp-min-92.out	17.7827	0.000734596	19
runs/small-A-0W-0G-0P-0/woagp-min-94.out	20.8563	0.00186784	24
runs/small-A-0W-0G-0P-0/woagp-min-96.out	21.1376	0.000971449	25
runs/small-A-0W-0G-0P-0/woagp-min-98.out	22.1527	0.00106387	26
